legal_articles,legal_violation_categories,violation_keywords,is_generic,before_legal_categories,reason_ai,original_big_category,remove_reason
《11121回风顺槽掘进工作面第九循环（K0+650.4m-K0+770.4）物探、地质、探放水钻孔资料》,安全生产,ai,True,<泛类型>,矿井掘进物探地质探放水，属生产安全。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《11121回风顺槽掘进工作面第九循环（K0+650.4m-K0+770.4）物探、地质、探放水钻孔...
《111501复采回风巷掘进作业规程》,安全生产,ai,True,<泛类型>,矿井掘进作业规程，属生产安全。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《111501复采回风巷掘进作业规程》
《1121采煤工作面作业规程》,安全生产,ai,True,<泛类型>,采煤作业规程属矿山安全管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《1121采煤工作面作业规程》
《113上05综采工作面作业规程》,安全生产,ai,True,<泛类型>,《作业规程》属矿山安全生产管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《113上05综采工作面作业规程》
《113下07运顺探放老空水方案设计》,安全生产,ai,True,<泛类型>,矿井探放老空水专项安全技术方案设计。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《113下07运顺探放老空水方案设计》
《11503采煤工作面作业规程》,安全生产,ai,True,<泛类型>,煤矿采煤作业规程属生产安全管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《11503采煤工作面作业规程》
《11505综采工作面作业规程》,安全生产,ai,True,<泛类型>,矿山综采作业规程属安全生产管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《11505综采工作面作业规程》
《11602采煤工作面作业规程》,安全生产,ai,True,<泛类型>,矿井采煤作业规程，属安全生产管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《11602采煤工作面作业规程》
《1200泄水巷掘进工作面作业规程》,安全生产,ai,True,<泛类型>,《作业规程》属矿山安全生产规范。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《1200泄水巷掘进工作面作业规程》
《1303工作面回采作业规程》,安全生产,ai,True,<泛类型>,煤矿回采作业规程，属安全生产管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《1303工作面回采作业规程》
《1305综采工作面作业规程》,安全生产,ai,True,<泛类型>,矿井综采工作面作业规程属安全生产规范。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《1305综采工作面作业规程》
《1308综放工作面作业规程》,安全生产,ai,True,<泛类型>,《作业规程》属矿山安全生产规范。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《1308综放工作面作业规程》
《1319综放工作面作业规程》,安全生产,ai,True,<泛类型>,矿山作业规程属生产安全管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《1319综放工作面作业规程》
《132621(外)综采工作面回采作业规程》,安全生产,ai,True,<泛类型>,矿山作业规程属生产安全管理规范。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《132621(外)综采工作面回采作业规程》
《1345东翼边界石门揭18煤专项防突设计》,安全生产,ai,True,<泛类型>,煤矿专项防突安全设计相关规定。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《1345东翼边界石门揭18煤专项防突设计》
《1404回风巷掘进工作面作业规程》,安全生产,ai,True,<泛类型>,矿井掘进作业规程，属生产安全管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《1404回风巷掘进工作面作业规程》
《15242上顺槽掘进工作面煤与瓦斯突出事故逃生、救援演习实施过程》,安全生产,ai,True,<泛类型>,涉及煤矿瓦斯事故逃生救援演习。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《15242上顺槽掘进工作面煤与瓦斯突出事故逃生、救援演习实施过程》
《1545风巷断面支护图》,建设工程与房地产,ai,True,<泛类型>,涉及巷道支护工程设计图纸相关。,建设工程,(6-7) 泛型法条被AI分为具体分类'建设工程与房地产'，应删除 | 原标记: <泛类型> | 法条: 《1545风巷断面支护图》
《154户拟吊销企业名单》,市场主体与登记治理,ai,True,<泛类型>,拟吊销企业多因长期停业未经营。,未开业/自行停业,(6-7) 泛型法条被AI分为具体分类'市场主体与登记治理'，应删除 | 原标记: <泛类型> | 法条: 《154户拟吊销企业名单》
《15G367-1》,建设工程与房地产,ai,True,<泛类型>,“15G367-1”系建筑结构施工图集规范。,建设工程,(6-7) 泛型法条被AI分为具体分类'建设工程与房地产'，应删除 | 原标记: <泛类型> | 法条: 《15G367-1》
《16G101-1》,建设工程与房地产,ai,True,<泛类型>,16G101-1为建筑结构施工规范图集。,建设工程,(6-7) 泛型法条被AI分为具体分类'建设工程与房地产'，应删除 | 原标记: <泛类型> | 法条: 《16G101-1》
《172402运料石门掘进工作面作业规程》,安全生产,ai,True,<泛类型>,矿山作业规程，属生产安全管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《172402运料石门掘进工作面作业规程》
《172404综放工作面回采作业规程》,安全生产,ai,True,<泛类型>,《作业规程》属矿山安全生产规范。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《172404综放工作面回采作业规程》
《174401里综采工作面回采作业规程》,安全生产,ai,True,<泛类型>,矿山作业规程，属生产安全管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《174401里综采工作面回采作业规程》
《1905回采工作面作业规程》,安全生产,ai,True,<泛类型>,矿井回采作业规程，属生产安全管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《1905回采工作面作业规程》
《2008北京商品合同》,市场秩序与竞争监管,ai,True,<泛类型>,《合同》规范商品交易秩序。,消费者权益/市场秩序,(6-7) 泛型法条被AI分为具体分类'市场秩序与竞争监管'，应删除 | 原标记: <泛类型> | 法条: 《2008北京商品合同》
《2009中国最具投资潜力商业地产项目》,*商业地产评选活动*,ai,True,<泛类型>,《最具投资潜力商业地产项目》评选活动。,*商业地产评选活动*,(6-6) AI分类含星号'*商业地产评选活动*'，分类不确定 | 法条: 《2009中国最具投资潜力商业地产项目》
《2009年西安杨森产品特殊陈列协议书》,市场秩序与竞争监管,ai,True,<泛类型>,医药企业与医院特殊陈列协议涉商业促销。,不正当竞争/商业贿赂,(6-7) 泛型法条被AI分为具体分类'市场秩序与竞争监管'，应删除 | 原标记: <泛类型> | 法条: 《2009年西安杨森产品特殊陈列协议书》
《2012年北京市流通领域商品质量检测-成人服装抽样细则》,产品质量与安全,ai,True,<泛类型>,《商品质量检测》成人服装抽检规范相关。,产品质量,(6-7) 泛型法条被AI分为具体分类'产品质量与安全'，应删除 | 原标记: <泛类型> | 法条: 《2012年北京市流通领域商品质量检测-成人服装抽样细则》
《2013年朝阳市汽、柴油商品质量监督抽查实施方案》,产品质量与安全,ai,True,<泛类型>,涉及汽柴油商品质量监督抽查。,产品质量,(6-7) 泛型法条被AI分为具体分类'产品质量与安全'，应删除 | 原标记: <泛类型> | 法条: 《2013年朝阳市汽、柴油商品质量监督抽查实施方案》
《2014年度奥马冰箱区域代理协议》,市场秩序与竞争监管,ai,True,<泛类型>,商品区域代理协议，涉市场经营秩序。,消费者权益/市场秩序,(6-7) 泛型法条被AI分为具体分类'市场秩序与竞争监管'，应删除 | 原标记: <泛类型> | 法条: 《2014年度奥马冰箱区域代理协议》
《2014年汽车用品商品质量检验结果通知书》,产品质量与安全,ai,True,<泛类型>,涉及汽车用品商品质量检验结果。,产品质量,(6-7) 泛型法条被AI分为具体分类'产品质量与安全'，应删除 | 原标记: <泛类型> | 法条: 《2014年汽车用品商品质量检验结果通知书》
《2015年度企业年度报告书》,市场主体与登记治理,ai,True,<泛类型>,《企业年度报告书》属信息公示义务。,企业信息公示,(6-5) 报告书类 | 匹配模式: '年度报告' | 法条: 《2015年度企业年度报告书》
《2015年流通环节商品质量抽样取证检验结果通知书》,产品质量与安全,ai,True,<泛类型>,商品质量抽检不合格，属产品质量问题。,产品质量,(6-7) 泛型法条被AI分为具体分类'产品质量与安全'，应删除 | 原标记: <泛类型> | 法条: 《2015年流通环节商品质量抽样取证检验结果通知书》
《2015年销售费用三栏式明细账账页》,财税与金融监管,ai,True,<泛类型>,涉及销售费用明细账账页管理规范。,会计/账务,(6-7) 泛型法条被AI分为具体分类'财税与金融监管'，应删除 | 原标记: <泛类型> | 法条: 《2015年销售费用三栏式明细账账页》
《2016年年度报告》,市场主体与登记治理,ai,True,<泛类型>,《年度报告》属于企业公示信息。,企业信息公示,(6-5) 报告书类 | 匹配模式: '年度报告' | 法条: 《2016年年度报告》
《2017年3月份考勤表》,劳动保障,ai,True,<泛类型>,考勤表涉及考勤管理与用工制度。,劳动保障/用工,(6-7) 泛型法条被AI分为具体分类'劳动保障'，应删除 | 原标记: <泛类型> | 法条: 《2017年3月份考勤表》
《2017年4月份员工名册》,劳动保障,ai,True,<泛类型>,《员工名册》涉及用工与劳动管理。,劳动保障/用工,(6-7) 泛型法条被AI分为具体分类'劳动保障'，应删除 | 原标记: <泛类型> | 法条: 《2017年4月份员工名册》
《2017年年度报告》,市场主体与登记治理,ai,True,<泛类型>,《年度报告》属企业信息公示义务。,企业信息公示,(6-5) 报告书类 | 匹配模式: '年度报告' | 法条: 《2017年年度报告》
《2017年度企业报告书》,市场主体与登记治理,ai,True,<泛类型>,《企业年度报告书》属于信息公示义务。,企业信息公示,(6-7) 泛型法条被AI分为具体分类'市场主体与登记治理'，应删除 | 原标记: <泛类型> | 法条: 《2017年度企业报告书》
《2017年清理长期停业未经营企业工作方案》,市场主体与登记治理,ai,True,<泛类型>,规范长期停业未经营企业清理。,未开业/自行停业,(6-7) 泛型法条被AI分为具体分类'市场主体与登记治理'，应删除 | 原标记: <泛类型> | 法条: 《2017年清理长期停业未经营企业工作方案》
《2017年第四季度成品油质量监督抽查实施细则》,产品质量与安全,ai,True,<泛类型>,成品油质量监督抽查，属产品质量。,产品质量,(6-7) 泛型法条被AI分为具体分类'产品质量与安全'，应删除 | 原标记: <泛类型> | 法条: 《2017年第四季度成品油质量监督抽查实施细则》
《2018-2019连续两年未年报企业名单电话记录簿》,市场主体与登记治理,ai,True,<泛类型>,涉及企业连续两年未年报情形。,企业信息公示,(6-7) 泛型法条被AI分为具体分类'市场主体与登记治理'，应删除 | 原标记: <泛类型> | 法条: 《2018-2019连续两年未年报企业名单电话记录簿》
《2018.5-2022.3融园商铺电费结算汇总》,市场秩序与竞争监管,ai,True,<泛类型>,《电费结算汇总》体现电价收费问题。,价格/收费,(6-7) 泛型法条被AI分为具体分类'市场秩序与竞争监管'，应删除 | 原标记: <泛类型> | 法条: 《2018.5-2022.3融园商铺电费结算汇总》
《2018年年度报告》,市场主体与登记治理,ai,True,<泛类型>,《年度报告》属于企业信息公示义务。,企业信息公示,(6-5) 报告书类 | 匹配模式: '年度报告' | 法条: 《2018年年度报告》
《2018年至今购销情况说明》,财税与金融监管,ai,True,<泛类型>,涉及购销情况说明属财务账务内容。,会计/账务,(6-7) 泛型法条被AI分为具体分类'财税与金融监管'，应删除 | 原标记: <泛类型> | 法条: 《2018年至今购销情况说明》
《2019年休闲装监督抽查实施规范》,产品质量与安全,ai,True,<泛类型>,监督抽查休闲装质量，属产品质量。,产品质量,(6-7) 泛型法条被AI分为具体分类'产品质量与安全'，应删除 | 原标记: <泛类型> | 法条: 《2019年休闲装监督抽查实施规范》
《2019年年度报告》,市场主体与登记治理,ai,True,<泛类型>,涉及年度报告信息公示义务。,企业信息公示,(6-5) 报告书类 | 匹配模式: '年度报告' | 法条: 《2019年年度报告》
《2019年度摆臂、积放段、斜带机、加速段设备购销合同》,建设工程与房地产,ai,True,<泛类型>,涉及设备购销合同，属工程采购。,工程建设/招投标,(6-7) 泛型法条被AI分为具体分类'建设工程与房地产'，应删除 | 原标记: <泛类型> | 法条: 《2019年度摆臂、积放段、斜带机、加速段设备购销合同》
《2019年辽宁省成品油市场监督检查工作实施方案》,安全生产,ai,True,<泛类型>,成品油属危化品，涉及安全监管。,安全生产/危化品,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《2019年辽宁省成品油市场监督检查工作实施方案》
《2020年-2022年取水量台账表》,环境保护,ai,True,<泛类型>,取水量台账涉及水资源取用管理。,水资源,(6-7) 泛型法条被AI分为具体分类'环境保护'，应删除 | 原标记: <泛类型> | 法条: 《2020年-2022年取水量台账表》
《2020年双随机检查盲样考核结果表》,统计相关,ai,True,<泛类型>,双随机检查盲样考核，属统计监督。,统计相关,(6-7) 泛型法条被AI分为具体分类'统计相关'，应删除 | 原标记: <泛类型> | 法条: 《2020年双随机检查盲样考核结果表》
《2020年各季度上网电量及时均上网电量》,统计相关,ai,True,<泛类型>,与电力统计数据及统计管理相关。,统计相关,(6-7) 泛型法条被AI分为具体分类'统计相关'，应删除 | 原标记: <泛类型> | 法条: 《2020年各季度上网电量及时均上网电量》
《2020年度销售明细》,财税与金融监管,ai,True,<泛类型>,《销售明细》属财务会计资料。,会计/账务,(6-7) 泛型法条被AI分为具体分类'财税与金融监管'，应删除 | 原标记: <泛类型> | 法条: 《2020年度销售明细》
《2020年收费明细表》,市场秩序与竞争监管,ai,True,<泛类型>,以收费明细表为核心内容。,价格/收费,(6-7) 泛型法条被AI分为具体分类'市场秩序与竞争监管'，应删除 | 原标记: <泛类型> | 法条: 《2020年收费明细表》
《2020年管理评审输入报告(1)内、外部审核结果的汇报》,*企业管理评审*,ai,True,<泛类型>,仅为管理评审报告标题，无执法内容。,*企业管理评审*,(6-6) AI分类含星号'*企业管理评审*'，分类不确定 | 法条: 《2020年管理评审输入报告(1)内、外部审核结果的汇报》
《2020年装配51&52组第37周计划》,*企业内部计划管理*,ai,True,<泛类型>,《装配…周计划》属内部生产计划管理。,*企业内部计划管理*,(6-6) AI分类含星号'*企业内部计划管理*'，分类不确定 | 法条: 《2020年装配51&52组第37周计划》
《2021.05.01-2022.03.28与2023.04.01-2023.05.31考勤汇总表》,劳动保障,ai,True,<泛类型>,与职工考勤汇总表相关，用工管理问题。,劳动保障/用工,(6-7) 泛型法条被AI分为具体分类'劳动保障'，应删除 | 原标记: <泛类型> | 法条: 《2021.05.01-2022.03.28与2023.04.01-2023.05.31考勤汇总表》
《2021年各季度上网电量及时均上网电量》,*电力行业管理*,ai,True,<泛类型>,《上网电量》电力运行管理规范相关。,*电力行业管理*,(6-6) AI分类含星号'*电力行业管理*'，分类不确定 | 法条: 《2021年各季度上网电量及时均上网电量》
《2021年度企业年度报告书》,市场主体与登记治理,ai,True,<泛类型>,涉及企业年度报告信息公示问题。,企业信息公示,(6-5) 报告书类 | 匹配模式: '年度报告' | 法条: 《2021年度企业年度报告书》
《2021年至2023年产品销售成本明细账账页》,财税与金融监管,ai,True,<泛类型>,涉及产品销售成本明细账页管理。,会计/账务,(6-7) 泛型法条被AI分为具体分类'财税与金融监管'，应删除 | 原标记: <泛类型> | 法条: 《2021年至2023年产品销售成本明细账账页》
《2021年至2023年原材料明细账账页》,财税与金融监管,ai,True,<泛类型>,涉及原材料明细账账页管理问题。,会计/账务,(6-7) 泛型法条被AI分为具体分类'财税与金融监管'，应删除 | 原标记: <泛类型> | 法条: 《2021年至2023年原材料明细账账页》
《2021年至2023年生产成本明细账账页》,财税与金融监管,ai,True,<泛类型>,涉及生产成本明细账及账页管理。,会计/账务,(6-7) 泛型法条被AI分为具体分类'财税与金融监管'，应删除 | 原标记: <泛类型> | 法条: 《2021年至2023年生产成本明细账账页》
《2022.03.29-2023.03.31考勤汇总表》,劳动保障,ai,True,<泛类型>,考勤汇总涉及劳动用工与考勤管理。,劳动保障/用工,(6-7) 泛型法条被AI分为具体分类'劳动保障'，应删除 | 原标记: <泛类型> | 法条: 《2022.03.29-2023.03.31考勤汇总表》
《2022年从化区市场监督管理局年报、核查函投递反馈表》,市场主体与登记治理,ai,True,<泛类型>,涉及年报及核查函投递反馈事项。,企业信息公示,(6-7) 泛型法条被AI分为具体分类'市场主体与登记治理'，应删除 | 原标记: <泛类型> | 法条: 《2022年从化区市场监督管理局年报、核查函投递反馈表》
《2022年全市机动车停放服务收费专项整治行动工作方案》,市场秩序与竞争监管,ai,True,<泛类型>,《机动车停放服务收费》属收费监管。,价格/收费,(6-7) 泛型法条被AI分为具体分类'市场秩序与竞争监管'，应删除 | 原标记: <泛类型> | 法条: 《2022年全市机动车停放服务收费专项整治行动工作方案》
《2022年半年度报告》,其他,ai,True,<泛类型>,仅出现报告名称，无法判断具体内容。,其他违法行为,(6-5) 报告书类 | 匹配模式: '年度报告' | 法条: 《2022年半年度报告》
《2022年惠州市创兴达建材有限公司取水统计月数据》,环境保护,ai,True,<泛类型>,涉及企业取水统计及用水管理。,水资源,(6-7) 泛型法条被AI分为具体分类'环境保护'，应删除 | 原标记: <泛类型> | 法条: 《2022年惠州市创兴达建材有限公司取水统计月数据》
《2022年邯郸市建筑用绝缘电工套管产品监督抽查规范》,产品质量与安全,ai,True,<泛类型>,针对产品监督抽查与质量要求规范。,产品质量,(6-7) 泛型法条被AI分为具体分类'产品质量与安全'，应删除 | 原标记: <泛类型> | 法条: 《2022年邯郸市建筑用绝缘电工套管产品监督抽查规范》
《2023年度防灭火专项设计》,消防安全,ai,True,<泛类型>,防灭火专项设计直接涉及消防规范。,消防安全,(6-7) 泛型法条被AI分为具体分类'消防安全'，应删除 | 原标记: <泛类型> | 法条: 《2023年度防灭火专项设计》
《2023年第三季度储量小结》,粮食/储备粮管理,ai,True,<泛类型>,标题含“储量小结”涉及粮食储备管理。,粮食/储备粮管理,(6-7) 泛型法条被AI分为具体分类'粮食/储备粮管理'，应删除 | 原标记: <泛类型> | 法条: 《2023年第三季度储量小结》
《20316主运、辅运顺槽掘进工作面作业规程》,安全生产,ai,True,<泛类型>,矿井掘进作业规程，属安全生产管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《20316主运、辅运顺槽掘进工作面作业规程》
《20316主运顺槽掘进工作面作业规程》,安全生产,ai,True,<泛类型>,《作业规程》属矿山安全生产管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《20316主运顺槽掘进工作面作业规程》
《21310综采工作面回采作业规程》,安全生产,ai,True,<泛类型>,《回采作业规程》属矿山安全管理规范。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《21310综采工作面回采作业规程》
《221513综采工作面作业规程》,安全生产,ai,True,<泛类型>,矿井综采工作面作业规程属安全生产。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《221513综采工作面作业规程》
《221517综采工作面作业规程》,安全生产,ai,True,<泛类型>,矿井综采工作面作业规程属安全生产管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《221517综采工作面作业规程》
《2305综放工作面作业规程》,安全生产,ai,True,<泛类型>,作业规程属生产安全操作规范。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《2305综放工作面作业规程》
《27316上顺槽掘进作业规程》,安全生产,ai,True,<泛类型>,矿井掘进作业规程，属生产安全管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《27316上顺槽掘进作业规程》
《27316上顺槽措施巷作业规程》,安全生产,ai,True,<泛类型>,《作业规程》属矿井作业安全管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《27316上顺槽措施巷作业规程》
《27316下顺槽措施巷作业规程》,安全生产,ai,True,<泛类型>,煤矿作业规程，属生产安全管理。,安全生产,(6-7) 泛型法条被AI分为具体分类'安全生产'，应删除 | 原标记: <泛类型> | 法条: 《27316下顺槽措施巷作业规程》
